cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,pct_muertes_covid,_den_pct_muertes_covid,_den_edad_prom_fallecimiento,fallecidos_2023,emigrantes_x1000,tasa_mortalidad
051102,676,25.945482866043612,86.09467455621302,676,3.2544378698224854,676,6.06508875739645,676,2.366863905325444,676,0.2958579881656805,676,676,558,61.80223880597015,13.440860215053764,558,558,129,52.00400030771598,9.92384029540734
051103,733,24.2722143864598,60.572987721691675,733,15.006821282401091,733,21.828103683492497,733,0.8185538881309686,733,0.0,733,733,476,60.00442477876106,5.2521008403361344,476,476,126,51.12289022178825,8.787836518342866
051201,832,26.372235872235873,15.985576923076923,832,2.8846153846153846,832,74.8798076923077,832,3.0048076923076925,832,1.3221153846153846,832,832,1306,60.23914759273875,12.633996937212864,1306,1306,273,23.557392830851125,7.729769522623025
051202,213,25.82758620689655,27.230046948356808,213,2.816901408450704,213,65.25821596244131,213,2.816901408450704,213,0.0,213,213,374,63.03867403314917,13.368983957219251,374,374,76,27.151051625239006,9.68769917144678
051203,105,28.326923076923077,70.47619047619048,105,8.571428571428571,105,13.333333333333334,105,1.9047619047619047,105,0.0,105,105,465,57.27312775330397,11.827956989247312,465,465,101,7.165279104681316,6.892316091169646
051204,252,25.06477732793522,72.22222222222223,252,1.9841269841269842,252,19.047619047619047,252,5.158730158730159,252,0.3968253968253968,252,252,295,60.91549295774648,14.23728813559322,295,295,79,43.30641003608868,13.576215844646846
051301,67,24.44776119402985,10.447761194029852,67,23.880597014925375,67,43.28358208955224,67,13.432835820895523,67,7.462686567164179,67,67,143,56.6,9.79020979020979,143,143,41,18.276050190943806,11.183851609383524
051302,203,25.474489795918366,18.226600985221676,203,33.49753694581281,203,33.004926108374384,203,3.9408866995073892,203,1.477832512315271,203,203,225,63.71497584541063,11.555555555555555,225,225,36,45.40371281592485,8.051889957503914
051401,204,24.797029702970296,7.352941176470588,204,1.4705882352941178,204,86.76470588235294,204,0.49019607843137253,204,0.0,204,204,221,63.76635514018692,11.764705882352942,221,221,43,48.72223549080487,10.269882971101026
051402,52,24.673076923076923,17.307692307692307,52,0.0,52,80.76923076923077,52,0.0,52,0.0,52,52,66,67.078125,13.636363636363637,66,66,12,33.63518758085382,7.7619663648124195
051501,1884,26.950792782941498,89.8619957537155,1884,2.229299363057325,1884,5.148619957537155,1884,0.583864118895966,1884,0.1592356687898089,1884,1884,1639,60.858950031625554,12.873703477730324,1639,1639,334,38.18402918524524,6.769355492501013
051601,34,23.848484848484848,5.882352941176471,34,0.0,34,91.17647058823529,34,2.9411764705882355,34,0.0,34,34,58,61.01851851851852,12.068965517241379,58,58,13,15.992474129821261,6.114769520225776
060101,5910,28.687467041659342,67.46192893401015,5910,4.991539763113368,5910,13.451776649746193,5910,4.67005076142132,5910,2.4027072758037225,5910,5910,6035,63.70262440354465,14.730737365368682,6035,6035,1351,24.754030383373333,5.658662444659454
060201,754,26.19676549865229,88.59416445623341,754,1.4588859416445623,754,7.427055702917772,754,0.7957559681697612,754,0.13262599469496023,754,754,497,62.45358649789029,6.639839034205232,497,497,128,42.319133411909974,7.184149969130606
060202,1031,29.283433133732537,78.27352085354025,1031,3.4917555771096023,1031,11.154219204655675,1031,1.2609117361784674,1031,0.48496605237633367,1031,1031,993,61.432124352331606,14.702920443101712,993,993,213,27.88747633216121,5.761428185014877
060301,2410,28.259306803594352,46.058091286307054,2410,7.012448132780083,2410,35.560165975103736,2410,4.854771784232365,2410,1.4937759336099585,2410,2410,2229,59.69090077732053,13.234634365186182,2229,2229,519,24.68402400802999,5.315771145297744
060302,286,26.530685920577618,42.65734265734266,286,4.895104895104895,286,45.10489510489511,286,1.7482517482517483,286,0.34965034965034963,286,286,291,63.08480565371025,11.683848797250858,291,291,82,18.38164406452857,5.270261584934764
060303,898,28.79746835443038,24.498886414253896,898,5.679287305122495,898,58.24053452115813,898,4.4543429844097995,898,1.0022271714922049,898,898,942,58.08762322015334,14.118895966029724,942,942,226,19.49165418593041,4.905471988886719
060401,734,28.00139470013947,87.87465940054496,734,1.771117166212534,734,8.719346049046322,734,0.0,734,0.0,734,734,437,61.400954653937944,6.864988558352403,437,437,87,46.09684104754129,5.463794511084594
060402,223,23.357798165137616,84.30493273542601,223,6.278026905829597,223,8.071748878923767,223,0.4484304932735426,223,0.0,223,223,146,63.54347826086956,6.164383561643835,146,146,34,46.90786705931847,7.15187210769878
060501,1579,26.143141153081512,85.7504749841672,1579,2.786573780873971,1579,6.523115896136796,1579,1.4566181127295756,1579,0.8866371120962635,1579,1579,805,64.40926640926641,7.577639751552795,805,805,204,52.03321689843801,6.722467541026824
060502,1002,23.238046795523907,93.9121756487026,1002,1.4970059880239521,1002,1.596806387225549,1002,0.499001996007984,1002,0.0,1002,1002,299,62.79858657243816,4.682274247491639,299,299,69,105.21894361020686,7.245615877349575
060601,611,25.791245791245792,60.229132569558104,611,8.67430441898527,611,25.04091653027823,611,2.618657937806874,611,0.9819967266775778,611,611,478,63.55458515283843,5.648535564853557,478,478,128,29.28489263803681,6.134969325153374
070101,40752,28.53797107459437,10.446113074204947,40752,10.026501766784452,40752,44.63584609344327,40752,15.471633294071456,40752,8.173831959167648,40752,40752,33777,60.68729441421501,18.633981703526068,33777,33777,7163,25.29637202650309,4.446356321796271
070102,2609,26.511627906976745,13.645074741280183,2609,13.070141816788041,2609,59.524722115753164,2609,6.707550785741663,2609,2.0697585281717132,2609,2609,1740,55.05051112447384,14.195402298850574,1740,1740,437,24.47398290854854,4.099321782689042
070103,734,25.00713266761769,11.852861035422343,734,10.899182561307901,734,20.980926430517712,734,14.032697547683924,734,20.572207084468666,734,734,423,62.27654320987654,13.002364066193854,423,423,110,31.73916803597682,4.756551068061921
070104,4074,27.373381667529777,11.119293078055964,4074,9.474717722140403,4074,56.529209621993125,4074,11.929307805596466,4074,4.786450662739322,4074,4074,2545,57.775967413441954,14.577603143418468,2545,2545,625,27.578083749644613,4.2308056807874035
070105,2856,26.73568281938326,8.57843137254902,2856,4.936974789915967,2856,68.69747899159664,2856,10.084033613445378,2856,4.201680672268908,2856,2856,1346,60.14,12.852897473997029,1346,1346,311,51.277447618363645,5.583783686733576
070201,4254,27.293120638085743,12.787964268923366,4254,9.94358251057828,4254,58.0394922425952,4254,9.755524212505877,4254,3.149976492712741,4254,4254,2878,56.02921024161558,13.029881862404448,2878,2878,649,28.12599174865122,4.290965830953136
070202,405,25.91948051948052,9.135802469135802,405,16.296296296296298,405,42.46913580246913,405,8.395061728395062,405,2.4691358024691357,405,405,252,60.2798353909465,9.523809523809524,252,252,65,37.9746835443038,6.094702297233943
070301,1078,24.720532319391634,14.935064935064934,1078,41.465677179962896,1078,32.6530612244898,1078,3.803339517625232,1078,1.484230055658627,1078,1078,1192,53.06426056338028,12.751677852348994,1192,1192,317,16.06485552061756,4.724080890571211
070302,270,24.50769230769231,15.185185185185185,270,42.592592592592595,270,31.11111111111111,270,4.074074074074074,270,2.962962962962963,270,270,273,50.22393822393823,17.216117216117215,273,273,75,17.717698011680557,4.9215827810223765
